carceri;regione;previsti;posti non disp;effettivi;locali;locali non disp;docce;sanitari;previsti reali;differenza tra posti previsti reali e posti effettivi;sovraffollamento;spazio primo det;spazio altri det;spazio totale;spazio tot docce;spazio  tot sanitari;numero persone per stanza;numero letti a castello;totale letti a castello;spazio tot letti a castello;spazio totale libero teorico;spazio libero singolo locale;spazio totale libero effettivo;spazio reale per persone reali;spazio previsto per persone teoriche;differenza percentuale di spazio per persona
Vasto;Abruzzo;197;50;100;98;28;15;85;147;-47;68,03%;882;495;1377;7,35;25,5;2;1;98;123,48;1220,67;12,45581633;871,9071429;8,719071429;5,931341108;68,03%
Avezzano;Abruzzo;53;2;78;33;2;33;1;51;27;152,94%;297;100;397;16,17;0,3;3;2;66;83,16;297,37;9,011212121;279,3475758;3,581379176;5,270708977;147,17%
Chieti;Abruzzo;79;0;133;33;0;33;6;79;54;168,35%;297;230;527;16,17;1,8;5;3;99;124,74;384,29;11,64515152;384,29;2,889398496;4,86443038;168,35%
L'Aquila;Abruzzo;228;6;169;216;2;12;43;222;-53;76,13%;1944;60;2004;5,88;12,9;1;1;216;272,16;1713,06;7,930833333;1697,198333;10,04259369;7,443852339;74,12%
Lanciano;Abruzzo;223;0;254;192;0;10;32;223;31;113,90%;1728;155;1883;4,9;9,6;2;1;192;241,92;1626,58;8,471770833;1626,58;6,403858268;7,294080717;113,90%
Pescara;Abruzzo;276;4;459;110;2;105;15;272;187;168,75%;990;830;1820;51,45;4,5;5;3;330;415,8;1348,25;12,25681818;1323,736364;2,883957219;4,796146245;166,30%
Sulmona;Abruzzo;232;0;442;299;2;15;290;232;210;190,52%;2691;-335;2356;7,35;87;2;1;299;376,74;1884,91;6,304046823;1872,301906;4,235977164;8,070266838;190,52%
Teramo;Abruzzo;255;1;390;239;1;11;26;254;136;153,54%;2151;80;2231;5,39;7,8;2;1;239;301,14;1916,67;8,019539749;1908,65046;4,893975539;7,484903766;152,94%
Matera;Basilicata;132;7;186;49;3;49;49;125;61;148,80%;441;415;856;24,01;14,7;4;2;98;123,48;693,81;14,15938776;651,3318367;3,501784068;4,934332096;140,91%
Melfi;Basilicata;126;0;185;122;0;14;109;126;59;146,83%;1098;20;1118;6,86;32,7;2;1;122;153,72;924,72;7,579672131;924,72;4,998486486;7,339047619;146,83%
Potenza;Basilicata;110;58;93;88;38;49;10;52;41;178,85%;792;110;902;24,01;3;2;1;88;110,88;764,11;8,683068182;434,1534091;4,668316227;3,946849174;84,55%
Catsrovillari;Calabria;122;1;174;120;1;2;20;121;53;143,80%;1080;10;1090;0,98;6;2;1;120;151,2;931,82;7,765166667;924,0548333;5,310659962;7,574219945;142,62%
Catanzaro;Calabria;682;58;648;392;32;208;23;624;24;103,85%;3528;1450;4978;101,92;6,9;2;1;392;493,92;4375,26;11,16137755;4018,095918;6,200765306;5,891636244;95,01%
Cosenza;Calabria;220;12;269;93;8;91;84;208;61;129,33%;837;635;1472;44,59;25,2;3;2;186;234,36;1167,85;12,55752688;1067,389785;3,967991766;4,85177175;122,27%
Crotone;Calabria;99;8;123;33;2;33;0;91;32;135,16%;297;330;627;16,17;0;4;2;66;83,16;527,67;15,99;495,69;4,03;5,006969697;124,24%
Laureana di Borrello;Calabria;37;0;53;37;0;37;37;37;16;143,24%;333;0;333;18,13;11,1;2;1;37;46,62;257,15;6,95;257,15;4,851886792;6,95;143,24%
Locri;Calabria;86;0;129;40;0;40;0;86;43;150,00%;360;230;590;19,6;0;4;2;80;100,8;469,6;11,74;469,6;3,640310078;5,460465116;150,00%
Palmi;Calabria;141;0;176;54;0;37;0;141;35;124,82%;486;435;921;18,13;0;4;2;108;136,08;766,79;14,19981481;766,79;4,356761364;5,43822695;124,82%
Paola;Calabria;181;27;178;161;12;156;3;154;24;115,58%;1449;100;1549;76,44;0,9;2;1;161;202,86;1268,8;7,880745342;1174,231056;6,596803685;6,487464397;98,34%
Reggio Calabria;Calabria;180;8;205;85;6;81;14;172;33;119,19%;765;475;1240;39,69;4,2;3;2;170;214,2;981,91;11,55188235;912,5987059;4,451701004;5,06999281;113,89%
Reggio Calabria Arghillà;Calabria;294;1;336;85;1;85;0;293;43;114,68%;765;1045;1810;41,65;0;4;2;170;214,2;1554,15;18,28411765;1535,865882;4,571029412;5,224033613;114,29%
Rossano;Calabria;263;0;308;142;0;136;46;263;45;117,11%;1278;605;1883;66,64;13,8;3;2;284;357,84;1444,72;10,17408451;1444,72;4,690649351;5,493231939;117,11%
Vibo Valentia;Calabria;406;8;398;154;6;121;8;398;0;100,00%;1386;1260;2646;59,29;2,4;3;2;308;388,08;2196,23;14,26123377;2110,662597;5,303172355;5,198676348;98,03%
Ariano Irpino;Campania;263;16;324;133;9;121;64;247;77;131,17%;1197;650;1847;59,29;19,2;3;2;266;335,16;1433,35;10,77706767;1336,356391;4,124556762;5,081203008;123,19%
Arienzo;Campania;58;0;84;53;0;53;53;58;26;144,83%;477;25;502;25,97;15,9;2;1;53;66,78;393,35;7,421698113;393,35;4,682738095;6,781896552;144,83%
Avellino;Campania;500;24;521;211;12;187;61;476;45;109,45%;1899;1445;3344;91,63;18,3;3;2;422;531,72;2702,35;12,80734597;2548,661848;4,891865352;5,097323697;104,20%
Aversa;Campania;254;20;263;90;6;85;65;234;29;112,39%;810;820;1630;41,65;19,5;3;2;180;226,8;1342,05;14,91166667;1252,58;4,762661597;4,931417323;103,54%
Benevento;Campania;259;7;401;230;5;230;0;252;149;159,13%;2070;145;2215;112,7;0;2;1;230;289,8;1812,5;7,880434783;1773,097826;4,421690339;6,845937552;154,83%
Carinola;Campania;562;28;487;280;26;140;139;534;-47;91,20%;2520;1410;3930;68,6;41,7;2;1;280;352,8;3466,9;12,38178571;3144,973571;6,457851276;5,596038383;86,65%
Eboli;Campania;54;0;48;9;0;9;9;54;-6;88,89%;81;225;306;4,41;2,7;6;3;27;34,02;264,87;29,43;264,87;5,518125;4,905;88,89%
Lauro;Campania;50;0;5;20;0;20;20;50;-45;10,00%;180;150;330;9,8;6;1;1;20;25,2;289;14,45;289;57,8;5,78;10,00%
Napoli Poggioreale;Campania;1624;266;2136;598;113;348;142;1358;778;157,29%;5382;5130;10512;170,52;42,6;4;2;1196;1506,96;8791,92;14,70220736;7130,570569;3,338282101;4,390745424;131,53%
Napoli Secondigliano;Campania;1142;13;1488;844;13;251;243;1129;359;131,80%;7596;1490;9086;122,99;72,9;2;1;844;1063,44;7826,67;9,273305687;7706,117026;5,178842087;6,747913333;130,30%
Pozzuoli;Campania;98;98;0;29;29;29;29;0;0;#DIV/0!;261;345;606;14,21;8,7;0;0;0;0;583,09;20,10655172;0;0;0;0
Salerno;Campania;376;0;598;130;0;70;86;376;222;159,04%;1170;1230;2400;34,3;25,8;5;3;390;491,4;1848,5;14,21923077;1848,5;3,091137124;4,916223404;159,04%
Sant'Angelo dei Lombardi;Campania;124;7;179;86;3;82;0;117;62;152,99%;774;190;964;40,18;0;3;2;172;216,72;707,1;8,222093023;682,4337209;3,812478888;5,503497749;144,35%
Santa Maria Capua Vetere;Campania;818;125;977;404;65;339;295;693;284;140,98%;3636;2070;5706;166,11;88,5;3;2;808;1018,08;4433,31;10,9735396;3720,029926;3,807604837;4,547713846;119,44%
Vallo della Lucania;Campania;40;0;57;10;0;9;9;40;17;142,50%;90;150;240;4,41;2,7;6;3;30;37,8;195,09;19,509;195,09;3,422631579;4,87725;142,50%
Bologna;Emilia-Romagna;503;23;842;446;8;130;58;480;362;175,42%;4014;285;4299;63,7;17,4;2;1;446;561,96;3655,94;8,197174888;3590,362601;4,2640886;7,137897815;167,40%
Castelfranco Emilia;Emilia-Romagna;191;42;104;57;12;45;34;149;-45;69,80%;513;670;1183;22,05;10,2;2;1;57;71,82;1078,93;18,92859649;851,7868421;8,190258097;4,459616974;54,45%
