regione,hexagon_id,x,y,carceri,sovraffollamento
Abruzzo,Abruzzo_hex_1,889.43.00,684.59.00,Vasto,68.03
Abruzzo,Abruzzo_hex_2,861.01.00,635.07.00,Avezzano,152.94
Abruzzo,Abruzzo_hex_3,803.37.00,535.23.00,Chieti,168.35
Abruzzo,Abruzzo_hex_4,832.19.00,585.15.00,L'Aquila,76.13
Abruzzo,Abruzzo_hex_5,832.19.00,684.59.00,Lanciano,113.90
Abruzzo,Abruzzo_hex_6,803.37.00,635.07.00,Pescara,168.75
Abruzzo,Abruzzo_hex_7,774.14.00,684.59.00,Sulmona,190.52
Abruzzo,Abruzzo_hex_8,774.14.00,585.15.00,Teramo,153.54
Basilicata,Basilicata_hex_1,1178.05.00,884.27.00,Matera,148.80
Basilicata,Basilicata_hex_2,1120.01.00,884.27.00,Melfi,146.83
Basilicata,Basilicata_hex_3,1149.23.00,934.20.00,Potenza,178.85
Calabria,Calabria_hex_1,1293.34.00,1084.36.00,Catsrovillari,143.80
Calabria,Calabria_hex_2,1235.29.00,1084.36.00,Catanzaro,103.85
Calabria,Calabria_hex_3,1235.29.00,1184.20.00,Cosenza,129.33
Calabria,Calabria_hex_4,1178.05.00,984.12.00,Crotone,135.16
Calabria,Calabria_hex_5,1206.47.00,1034.04.00,Laureana di Borrello,143.24
Calabria,Calabria_hex_6,1178.05.00,1084.36.00,Locri,150.00
Calabria,Calabria_hex_7,1206.47.00,1134.28.00,Palmi,124.82
Calabria,Calabria_hex_8,1178.05.00,1184.20.00,Paola,115.58
Calabria,Calabria_hex_9,1206.47.00,1234.12.00,Reggio Calabria,119.19
Calabria,Calabria_hex_10,1178.05.00,1284.04.00,Reggio Calabria Arghillà,114.68
Calabria,Calabria_hex_11,1120.01.00,984.12.00,Rossano,117.11
Calabria,Calabria_hex_12,1149.23.00,1034.04.00,Vibo Valentia,100.00
Campania,Campania_hex_1,1091.18.00,834.35.00,Ariano Irpino,131.17
Campania,Campania_hex_2,1062.36.00,884.27.00,Arienzo,144.83
Campania,Campania_hex_3,1091.18.00,934.20.00,Avellino,109.45
Campania,Campania_hex_4,1062.36.00,984.12.00,Aversa,112.39
Campania,Campania_hex_5,1005.12.00,784.43.00,Benevento,159.13
Campania,Campania_hex_6,1033.54.00,834.35.00,Carinola,91.20
Campania,Campania_hex_7,1005.12.00,884.27.00,Eboli,88.89
Campania,Campania_hex_8,1033.54.00,934.20.00,Lauro,10.00
Campania,Campania_hex_9,947.07.00,784.43.00,Napoli Poggioreale,157.29
Campania,Campania_hex_10,976.30.00,834.35.00,Napoli Secondigliano,131.80
Campania,Campania_hex_11,947.07.00,884.27.00,Pozzuoli,0
Campania,Campania_hex_12,889.43.00,784.43.00,Salerno,159.04
Campania,Campania_hex_13,918.25.00,834.35.00,Sant'Angelo dei Lombardi,152.99
Campania,Campania_hex_14,832.19.00,784.43.00,Santa Maria Capua Vetere,140.98
Campania,Campania_hex_15,861.01.00,834.35.00,Vallo della Lucania,142.50
Emilia-Romagna,Emilia-Romagna_hex_1,371.04.00,285.22.00,Bologna,175.42
Emilia-Romagna,Emilia-Romagna_hex_2,428.28.00,285.22.00,Castelfranco Emilia,69.80
Emilia-Romagna,Emilia-Romagna_hex_3,486.32.00,285.22.00,Ferrara,161.48
Emilia-Romagna,Emilia-Romagna_hex_4,515.15.00,335.14.00,Forlì,121.21
Emilia-Romagna,Emilia-Romagna_hex_5,543.57.00,285.22.00,Modena,153.93
Emilia-Romagna,Emilia-Romagna_hex_6,572.39.00,335.14.00,Parma,115.97
Emilia-Romagna,Emilia-Romagna_hex_7,601.21.00,285.22.00,Piacenza,126.98
Emilia-Romagna,Emilia-Romagna_hex_8,630.03.00,335.14.00,Ravenna,187.76
Emilia-Romagna,Emilia-Romagna_hex_9,659.26.00,285.22.00,Reggio Emilia,120.60
Emilia-Romagna,Emilia-Romagna_hex_10,688.08.00,335.14.00,Rimini,130.51
Lazio,Lazio_hex_1,803.37.00,734.51.00,Gorizia,135.85
Lazio,Lazio_hex_2,774.14.00,784.43.00,Pordenone,129.73
Lazio,Lazio_hex_3,716.50.00,784.43.00,Tolmezzo,95.95
Lazio,Lazio_hex_4,543.57.00,585.15.00,Trieste,171.92
Lazio,Lazio_hex_5,601.21.00,684.59.00,Udine,193.41
Lazio,Lazio_hex_6,572.39.00,635.07.00,Cassino,169.29
Lazio,Lazio_hex_7,601.21.00,585.15.00,Civitavecchia circondariale,171.38
Lazio,Lazio_hex_8,659.26.00,684.59.00,Civitavecchia reclusione,94.57
Lazio,Lazio_hex_9,630.03.00,635.07.00,Frosinone,124.57
Lazio,Lazio_hex_10,688.08.00,734.51.00,Latina,175.32
Lazio,Lazio_hex_11,716.50.00,684.59.00,Paliano,43.42
Lazio,Lazio_hex_12,688.08.00,635.07.00,Rieti,188.93
Lazio,Lazio_hex_13,716.50.00,585.15.00,Roma,198.41
Lazio,Lazio_hex_14,745.32.00,734.51.00,Roma Rebibbia nc circondariale,147.30
Lazio,Lazio_hex_15,745.32.00,635.07.00,Roma Rebibbia circondariale,62.12
Lazio,Lazio_hex_16,745.32.00,535.23.00,Roma Rebibbia. circondariale femm,139.62
Liguria,Liguria_hex_1,25.17.00,285.22.00,Roma Rebibbia reclusione,101.01
Liguria,Liguria_hex_2,82.42.00,285.22.00,Velletri,151.34
