regione,hexagon_id,x,y
Abruzzo,Abruzzo_hex_1,889.43.00,684.59.00
Abruzzo,Abruzzo_hex_2,861.01.00,635.07.00
Abruzzo,Abruzzo_hex_3,803.37.00,535.23.00
Abruzzo,Abruzzo_hex_4,832.19.00,585.15.00
Abruzzo,Abruzzo_hex_5,832.19.00,684.59.00
Abruzzo,Abruzzo_hex_6,803.37.00,635.07.00
Abruzzo,Abruzzo_hex_7,774.14.00,684.59.00
Abruzzo,Abruzzo_hex_8,774.14.00,585.15.00
Basilicata,Basilicata_hex_1,1178.05.00,884.27.00
Basilicata,Basilicata_hex_2,1120.01.00,884.27.00
Basilicata,Basilicata_hex_3,1149.23.00,934.20.00
Calabria,Calabria_hex_1,1293.34.00,1084.36.00
Calabria,Calabria_hex_2,1235.29.00,1084.36.00
Calabria,Calabria_hex_3,1235.29.00,1184.20.00
Calabria,Calabria_hex_4,1178.05.00,984.12.00
Calabria,Calabria_hex_5,1206.47.00,1034.04.00
Calabria,Calabria_hex_6,1178.05.00,1084.36.00
Calabria,Calabria_hex_7,1206.47.00,1134.28.00
Calabria,Calabria_hex_8,1178.05.00,1184.20.00
Calabria,Calabria_hex_9,1206.47.00,1234.12.00
Calabria,Calabria_hex_10,1178.05.00,1284.04.00
Calabria,Calabria_hex_11,1120.01.00,984.12.00
Calabria,Calabria_hex_12,1149.23.00,1034.04.00
Campania,Campania_hex_1,1091.18.00,834.35.00
Campania,Campania_hex_2,1062.36.00,884.27.00
Campania,Campania_hex_3,1091.18.00,934.20.00
Campania,Campania_hex_4,1062.36.00,984.12.00
Campania,Campania_hex_5,1005.12.00,784.43.00
Campania,Campania_hex_6,1033.54.00,834.35.00
Campania,Campania_hex_7,1005.12.00,884.27.00
Campania,Campania_hex_8,1033.54.00,934.20.00
Campania,Campania_hex_9,947.07.00,784.43.00
Campania,Campania_hex_10,976.30.00,834.35.00
Campania,Campania_hex_11,947.07.00,884.27.00
Campania,Campania_hex_12,889.43.00,784.43.00
Campania,Campania_hex_13,918.25.00,834.35.00
Campania,Campania_hex_14,832.19.00,784.43.00
Campania,Campania_hex_15,861.01.00,834.35.00
Emilia-Romagna,Emilia-Romagna_hex_1,371.04.00,285.22.00
Emilia-Romagna,Emilia-Romagna_hex_2,428.28.00,285.22.00
Emilia-Romagna,Emilia-Romagna_hex_3,486.32.00,285.22.00
Emilia-Romagna,Emilia-Romagna_hex_4,515.15.00,335.14.00
Emilia-Romagna,Emilia-Romagna_hex_5,543.57.00,285.22.00
