regione,hexagon_id,x,y
Abruzzo,Abruzzo_hex_1,889.43,684.59
Abruzzo,Abruzzo_hex_2,860.61,634.67
Abruzzo,Abruzzo_hex_3,802.97,534.83
Abruzzo,Abruzzo_hex_4,831.79,584.75
Abruzzo,Abruzzo_hex_5,831.79,684.59
Abruzzo,Abruzzo_hex_6,802.97,634.67
Abruzzo,Abruzzo_hex_7,774.14,684.59
Abruzzo,Abruzzo_hex_8,774.14,584.75
Basilicata,Basilicata_hex_1,1177.65,884.27
Basilicata,Basilicata_hex_2,1120.01,884.27
Basilicata,Basilicata_hex_3,1148.83,934.20
Calabria,Calabria_hex_1,1292.94,1083.96
Calabria,Calabria_hex_2,1235.29,1083.96
Calabria,Calabria_hex_3,1235.29,1183.80
Calabria,Calabria_hex_4,1177.65,984.12
Calabria,Calabria_hex_5,1206.47,1034.04
Calabria,Calabria_hex_6,1177.65,1083.96
Calabria,Calabria_hex_7,1206.47,1133.88
Calabria,Calabria_hex_8,1177.65,1183.80
Calabria,Calabria_hex_9,1206.47,1233.72
Calabria,Calabria_hex_10,1177.65,1283.64
Calabria,Calabria_hex_11,1120.01,984.12
Calabria,Calabria_hex_12,1148.83,1034.04
Campania,Campania_hex_1,1091.18,834.35
Campania,Campania_hex_2,1062.36,884.27
Campania,Campania_hex_3,1091.18,934.20
Campania,Campania_hex_4,1062.36,984.12
Campania,Campania_hex_5,1004.72,784.43
Campania,Campania_hex_6,1033.54,834.35
Campania,Campania_hex_7,1004.72,884.27
Campania,Campania_hex_8,1033.54,934.20
Campania,Campania_hex_9,947.07,784.43
Campania,Campania_hex_10,975.90,834.35
Campania,Campania_hex_11,947.07,884.27
Campania,Campania_hex_12,889.43,784.43
Campania,Campania_hex_13,918.25,834.35
Campania,Campania_hex_14,831.79,784.43
Campania,Campania_hex_15,860.61,834.35
Emilia-Romagna,Emilia-Romagna_hex_1,370.64,285.22
Emilia-Romagna,Emilia-Romagna_hex_2,428.28,285.22
Emilia-Romagna,Emilia-Romagna_hex_3,485.92,285.22
Emilia-Romagna,Emilia-Romagna_hex_4,514.75,335.14
Emilia-Romagna,Emilia-Romagna_hex_5,543.57,285.22
Emilia-Romagna,Emilia-Romagna_hex_6,572.39,335.14
Emilia-Romagna,Emilia-Romagna_hex_7,601.21,285.22
Emilia-Romagna,Emilia-Romagna_hex_8,630.03,335.14
Emilia-Romagna,Emilia-Romagna_hex_9,658.86,285.22
Emilia-Romagna,Emilia-Romagna_hex_10,687.68,335.14
Lazio,Lazio_hex_1,802.97,734.51
Lazio,Lazio_hex_2,774.14,784.43
